date,rank,track_name,artist,spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,primary_artist
2025-01-04,1,all i want for christmas is you,mariah carey,0bYg9bo50gSsH3LtXe2SQn,all i want for christmas is you,mariah carey,14,0,-4,UA,1/2/2025,97,False,241106,Merry Christmas,10/28/1994,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,4,mariah carey
2025-01-04,1,rockin' around the christmas tree,brenda lee,2EjXfH91m7f8HiJN1yQg97,rockin' around the christmas tree,brenda lee,45,-10,-29,UA,1/2/2025,96,False,126266,Merry Christmas From Brenda Lee,10/19/1964,0.598,0.47,8,-8.744,1,0.0496,0.617,0.0,0.505,0.879,67.086,4,brenda lee
2025-01-04,1,last christmas,wham!,2FRnf9qhLbvw8fu4IBXx78,last christmas,wham!,29,-22,-20,UA,1/3/2025,95,False,262960,LAST CHRISTMAS,11/29/1984,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,4,wham!
2025-01-04,71,jingle bell rock,bobby helms,7vQbuQcyTflfCIOu3Uzzya,jingle bell rock,bobby helms,37,-4,-20,UA,1/2/2025,94,False,130973,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),12/2/1957,0.754,0.424,2,-8.463,1,0.0363,0.643,0.0,0.0652,0.806,119.705,4,bobby helms
2025-01-04,1,santa tell me,ariana grande,0lizgQ7Qw35od7CYaoMBZb,santa tell me,ariana grande,48,-15,-42,LV,12/29/2024,95,False,204093,Santa Tell Me,11/24/2014,0.525,0.621,7,-7.364,1,0.117,0.0489,0.0,0.291,0.592,191.868,4,ariana grande
2025-01-04,1,a holly jolly christmas,burl ives,2BlRuvtjcthW3CP5zX75YK,a holly jolly christmas,burl ives,38,12,12,US,12/19/2024,2,False,133839,A Holly Jolly Christmas,12/17/2024,0.665,0.365,0,-13.03,1,0.03,0.653,0.0,0.109,0.865,140.418,4,burl ives
2025-01-04,71,it's the most wonderful time of the year,andy williams,5hslUAKq9I9CG2bAulFkHN,it's the most wonderful time of the year,andy williams,32,-29,-24,NL,12/28/2024,93,False,151933,The Andy Williams Christmas Album,11/24/1963,0.24,0.598,7,-8.435,1,0.0369,0.766,0.0,0.117,0.776,201.629,3,andy williams
2025-01-04,2,let it snow! let it snow! let it snow!,dean martin,2uFaJJtFpPDc5Pa95XzTvg,let it snow! let it snow! let it snow!,dean martin,44,-10,-35,LV,12/29/2024,94,False,117146,A Winter Romance,1/1/1959,0.451,0.241,1,-14.014,1,0.0352,0.912,2.66e-06,0.175,0.698,134.009,4,dean martin
2025-01-04,3,underneath the tree,kelly clarkson,3YZE5qDV7u1ZD1gZc47ZeR,underneath the tree,kelly clarkson,34,16,16,NL,12/28/2024,85,False,229640,Wrapped In Red,10/29/2013,0.509,0.812,8,-5.439,1,0.0537,0.00128,1.99e-05,0.214,0.689,159.878,4,kelly clarkson
2025-01-04,4,the christmas song (merry christmas to you),"nat ""king"" cole",5humEOJehpAwMJEJmb0JJ2,the christmas song (merry christmas to you),nat king cole,45,-31,-16,,12/27/2024,82,False,190973,The Nat King Cole Story,9/25/1961,0.283,0.095,1,-17.828,1,0.0398,0.904,3.36e-05,0.128,0.187,66.862,4,nat king cole
