date,rank,title,artist
2025-01-04,1,All I Want For Christmas Is You,Mariah Carey
2025-01-04,1,Rockin' Around The Christmas Tree,Brenda Lee
2025-01-04,1,Last Christmas,Wham!
2025-01-04,71,Jingle Bell Rock,Bobby Helms
2025-01-04,1,Santa Tell Me,Ariana Grande
2025-01-04,1,A Holly Jolly Christmas,Burl Ives
2025-01-04,71,It's The Most Wonderful Time Of The Year,Andy Williams
2025-01-04,2,Let It Snow! Let It Snow! Let It Snow!,Dean Martin
2025-01-04,3,Underneath The Tree,Kelly Clarkson
2025-01-04,4,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole"
2025-01-04,5,Feliz Navidad,Jose Feliciano
2025-01-04,6,It's Beginning To Look A Lot Like Christmas,Michael Buble
2025-01-04,7,Sleigh Ride,The Ronettes
2025-01-04,8,Run Rudolph Run,Chuck Berry
2025-01-04,9,Christmas (Baby Please Come Home),Darlene Love
2025-01-04,10,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
2025-01-04,11,Die With A Smile,Lady Gaga & Bruno Mars
2025-01-04,12,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins
2025-01-04,13,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra
2025-01-04,14,Deck The Halls,Nat King Cole
2025-01-04,15,Blue Christmas,Elvis Presley
2025-01-04,16,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra
2025-01-04,17,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
2025-01-04,18,A Bar Song (Tipsy),Shaboozey
2025-01-04,19,Little Saint Nick,The Beach Boys
2025-01-04,20,Wonderful Christmastime,Paul McCartney
2025-01-04,21,Luther,Kendrick Lamar & SZA
2025-01-04,22,Birds Of A Feather,Billie Eilish
2025-01-04,23,Please Come Home For Christmas,Eagles
2025-01-04,24,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores
2025-01-04,25,Christmastime Is Here,Vince Guaraldi Trio
2025-01-04,26,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-01-04,27,That's So True,Gracie Abrams
2025-01-04,28,APT.,ROSE & Bruno Mars
2025-01-04,29,This Christmas,Donny Hathaway
2025-01-04,30,Baby It's Cold Outside,Dean Martin
2025-01-04,31,Holly Jolly Christmas,Michael Buble
2025-01-04,32,Merry Christmas,Ed Sheeran & Elton John
2025-01-04,33,Like It's Christmas,Jonas Brothers
2025-01-04,34,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
2025-01-04,35,Taste,Sabrina Carpenter
2025-01-04,36,Mistletoe,Justin Bieber
2025-01-04,37,Snowman,Sia
2025-01-04,38,Squabble Up,Kendrick Lamar
2025-01-04,39,30 For 30,SZA With Kendrick Lamar
2025-01-04,40,Espresso,Sabrina Carpenter
2025-01-04,41,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-01-04,42,Winter Wonderland,Darlene Love
2025-01-04,43,Happy Holiday / The Holiday Season,Andy Williams
2025-01-04,44,You Make It Feel Like Christmas,Gwen Stefani Featuring Blake Shelton
2025-01-04,45,Timeless,The Weeknd & Playboi Carti
2025-01-04,46,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
2025-01-04,47,Love Somebody,Morgan Wallen
2025-01-04,48,Whatchu Kno About Me,GloRilla & Sexyy Red
2025-01-04,49,BMF,SZA
2025-01-04,50,Christmas Magic,Laufey
2025-01-04,51,High Road,Koe Wetzel & Jessie Murph
2025-01-04,52,Sailor Song,Gigi Perez
2025-01-04,53,Drive,SZA
2025-01-04,54,Bed Chem,Sabrina Carpenter
2025-01-04,55,Messy,Lola Young
2025-01-04,56,Diamond Boy (DTM),SZA
2025-01-04,57,Scorsese Baby Daddy,SZA
2025-01-04,58,What Do I Do,SZA
2025-01-04,59,Wind Up Missin' You,Tucker Wetmore
2025-01-04,60,Like Him,"Tyler, The Creator Featuring Lola Young"
2025-01-04,61,Pink Pony Club,Chappell Roan
2025-01-04,62,Tu Boda,Oscar Maydon & Fuerza Regida
2025-01-04,63,No More Hiding,SZA
2025-01-04,64,Crybaby,SZA
2025-01-04,65,Kitchen,SZA
2025-01-04,66,I Never Lie,Zach Top
2025-01-04,67,Another Life,SZA
2025-01-04,68,No One Noticed,The Marias
2025-01-04,69,Defying Gravity,Cynthia Erivo Featuring Ariana Grande
2025-01-04,70,It's Ok I'm Ok,Tate McRae
2025-01-04,71,Indigo,Sam Barber Featuring Avery Anna
2025-01-04,72,Run Rudolph Run,Mark Ambor
2025-01-04,73,Love Me 4 Me,SZA
2025-01-04,74,Chill Baby,SZA
2025-01-04,75,My Turn,SZA
2025-01-04,76,Hey Now,Kendrick Lamar Featuring Dody6
2025-01-04,77,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-01-04,78,Liar,Jelly Roll
2025-01-04,79,Residuals,Chris Brown
2025-01-04,80,Help Me,Real Boston Richey
2025-01-04,81,I'm Gonna Love You,Cody Johnson & Carrie Underwood
2025-01-04,82,Holiday Road,Kesha
2025-01-04,83,Santa Baby,Laufey
2025-01-04,84,Wacced Out Murals,Kendrick Lamar
2025-01-04,85,Dancing In The Flames,The Weeknd
2025-01-04,86,Empty Out Your Pockets,Juice WRLD
2025-01-04,87,Heart Of A Woman,Summer Walker
2025-01-04,88,4x4xU,Lainey Wilson
2025-01-04,89,Good News,Shaboozey
2025-01-04,90,Dos Dias,Tito Double P & Peso Pluma
2025-01-04,91,25,Rod Wave
2025-01-04,92,Popular,Ariana Grande
2025-01-04,93,Think I'm In Love With You,Chris Stapleton
2025-01-04,94,Peekaboo,Kendrick Lamar Featuring AzChike
2025-01-11,1,Die With A Smile,Lady Gaga & Bruno Mars
2025-01-11,17,A Bar Song (Tipsy),Shaboozey
2025-01-11,1,Birds Of A Feather,Billie Eilish
2025-01-11,20,Lose Control,Teddy Swims
2025-01-11,17,APT.,ROSE & Bruno Mars
2025-01-11,1,That's So True,Gracie Abrams
2025-01-11,20,Luther,Kendrick Lamar & SZA
2025-01-11,2,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-01-11,3,Espresso,Sabrina Carpenter
2025-01-11,4,Taste,Sabrina Carpenter
2025-01-11,5,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-01-11,6,Beautiful Things,Benson Boone
2025-01-11,7,Love Somebody,Morgan Wallen
2025-01-11,8,Too Sweet,Hozier
2025-01-11,9,Timeless,The Weeknd & Playboi Carti
2025-01-11,10,Squabble Up,Kendrick Lamar
2025-01-11,11,"Good Luck, Babe!",Chappell Roan
2025-01-11,12,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
2025-01-11,13,Stargazing,Myles Smith
2025-01-11,14,Not Like Us,Kendrick Lamar
2025-01-11,15,Whatchu Kno About Me,GloRilla & Sexyy Red
2025-01-11,16,30 For 30,SZA With Kendrick Lamar
2025-01-11,17,High Road,Koe Wetzel & Jessie Murph
2025-01-11,18,Who,Jimin
2025-01-11,19,Messy,Lola Young
2025-01-11,20,Please Please Please,Sabrina Carpenter
2025-01-11,21,Smile,Morgan Wallen
2025-01-11,22,I Am Not Okay,Jelly Roll
2025-01-11,23,BMF,SZA
2025-01-11,24,Million Dollar Baby,Tommy Richman
2025-01-11,25,Wind Up Missin' You,Tucker Wetmore
2025-01-11,26,Bed Chem,Sabrina Carpenter
2025-01-11,27,Sailor Song,Gigi Perez
2025-01-11,28,Lies Lies Lies,Morgan Wallen
2025-01-11,29,Wildflower,Billie Eilish
2025-01-11,30,Pink Pony Club,Chappell Roan
2025-01-11,31,Like Him,"Tyler, The Creator Featuring Lola Young"
2025-01-11,32,I Never Lie,Zach Top
2025-01-11,33,Liar,Jelly Roll
2025-01-11,34,I'm Gonna Love You,Cody Johnson & Carrie Underwood
2025-01-11,35,Scorsese Baby Daddy,SZA
2025-01-11,36,Tu Boda,Oscar Maydon & Fuerza Regida
2025-01-11,37,"I Love You, I'm Sorry",Gracie Abrams
2025-01-11,38,It's Ok I'm Ok,Tate McRae
2025-01-11,39,4x4xU,Lainey Wilson
2025-01-11,40,No One Noticed,The Marias
2025-01-11,41,Good News,Shaboozey
2025-01-11,42,Indigo,Sam Barber Featuring Avery Anna
2025-01-11,43,Defying Gravity,Cynthia Erivo Featuring Ariana Grande
2025-01-11,44,Loco,Neton Vega
2025-01-11,45,Drive,SZA
2025-01-11,46,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-01-11,47,Think I'm In Love With You,Chris Stapleton
2025-01-11,48,Guy For That,Post Malone Featuring Luke Combs
2025-01-11,49,Dancing In The Flames,The Weeknd
2025-01-11,50,Hey Now,Kendrick Lamar Featuring Dody6
2025-01-11,51,Help Me,Real Boston Richey
2025-01-11,52,Residuals,Chris Brown
2025-01-11,53,Am I Okay?,Megan Moroney
2025-01-11,54,Diamond Boy (DTM),SZA
2025-01-11,55,I Ain't Sayin',Jordan Davis
2025-01-11,56,What Do I Do,SZA
2025-01-11,57,Heart Of A Woman,Summer Walker
2025-01-11,58,Another Life,SZA
2025-01-11,59,Bad Dreams,Teddy Swims
2025-01-11,60,No Pole,Don Toliver
2025-01-11,61,Empty Out Your Pockets,Juice WRLD
2025-01-11,62,Dos Dias,Tito Double P & Peso Pluma
2025-01-11,63,Close To You,Gracie Abrams
2025-01-11,64,Popular,Ariana Grande
2025-01-11,65,Crybaby,SZA
2025-01-11,66,Wacced Out Murals,Kendrick Lamar
2025-01-11,67,Diet Pepsi,Addison Rae
2025-01-11,68,Apple,Charli xcx
2025-01-11,69,Boys Back Home,Dylan Marlowe & Dylan Scott
2025-01-11,70,25,Rod Wave
2025-01-11,71,Kitchen,SZA
2025-01-11,72,Peekaboo,Kendrick Lamar Featuring AzChike
2025-01-11,73,Burning Down,Alex Warren
2025-01-11,74,Disease,Lady Gaga
2025-01-11,75,Shake Dat Ass (Twerk Song),BossMan Dlow
2025-01-11,76,Gang Baby,NLE Choppa
2025-01-11,77,Khe?,Rauw Alejandro & Romeo Santos
2025-01-11,78,Brokey,Latto
2025-01-11,79,Rosones,Tito Double P
2025-01-11,80,Juno,Sabrina Carpenter
2025-01-11,81,Nadie,Tito Double P
2025-01-11,82,What Is This Feeling?,Ariana Grande & Cynthia Erivo
2025-01-11,83,El Club,Bad Bunny
2025-01-11,84,Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch"
2025-01-11,85,Pitorro de Coco,Bad Bunny
2025-01-11,86,The Largest,BigXthaPlug
2025-01-11,87,Wondering Why,The Red Clay Strays
2025-01-11,88,Ends Of The Earth,Ty Myers
2025-01-11,89,Chill Baby,SZA
2025-01-11,90,Holy Smokes,Bailey Zimmerman
2025-01-11,91,High Road,Zach Bryan
2025-01-11,92,On One Tonight,Gunna
2025-01-11,93,St. Chroma,"Tyler, The Creator Featuring Daniel Caesar"
2025-01-11,94,Cowboy Songs,George Birge
2025-01-18,1,Die With A Smile,Lady Gaga & Bruno Mars
2025-01-18,1,A Bar Song (Tipsy),Shaboozey
2025-01-18,1,Birds Of A Feather,Billie Eilish
2025-01-18,21,Smile,Morgan Wallen
2025-01-18,1,APT.,ROSE & Bruno Mars
2025-01-18,1,Lose Control,Teddy Swims
2025-01-18,21,Luther,Kendrick Lamar & SZA
2025-01-18,2,That's So True,Gracie Abrams
2025-01-18,3,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-01-18,4,Espresso,Sabrina Carpenter
2025-01-18,5,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-01-18,6,Taste,Sabrina Carpenter
2025-01-18,7,Love Somebody,Morgan Wallen
2025-01-18,8,Beautiful Things,Benson Boone
2025-01-18,9,Timeless,The Weeknd & Playboi Carti
2025-01-18,10,"Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future"
2025-01-18,11,Too Sweet,Hozier
2025-01-18,12,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
2025-01-18,13,Squabble Up,Kendrick Lamar
2025-01-18,14,Stargazing,Myles Smith
2025-01-18,15,"Good Luck, Babe!",Chappell Roan
2025-01-18,16,30 For 30,SZA With Kendrick Lamar
2025-01-18,17,Not Like Us,Kendrick Lamar
2025-01-18,18,Messy,Lola Young
2025-01-18,19,High Road,Koe Wetzel & Jessie Murph
2025-01-18,20,Whatchu Kno About Me,GloRilla & Sexyy Red
2025-01-18,21,Nuevayol,Bad Bunny
2025-01-18,22,Baile Inolvidable,Bad Bunny
2025-01-18,23,Tweaker,GELO
2025-01-18,24,Sailor Song,Gigi Perez
2025-01-18,25,Wind Up Missin' You,Tucker Wetmore
2025-01-18,26,Please Please Please,Sabrina Carpenter
2025-01-18,27,I Am Not Okay,Jelly Roll
2025-01-18,28,BMF,SZA
2025-01-18,29,Bed Chem,Sabrina Carpenter
2025-01-18,30,Voy A Llevarte Pa PR,Bad Bunny
2025-01-18,31,El Club,Bad Bunny
2025-01-18,32,DTMF,Bad Bunny
2025-01-18,33,Who,Jimin
2025-01-18,34,Million Dollar Baby,Tommy Richman
2025-01-18,35,Wildflower,Billie Eilish
2025-01-18,36,Lies Lies Lies,Morgan Wallen
2025-01-18,37,Velda,"Bad Bunny, Omar Courtz & Dei V"
2025-01-18,38,By Myself,Lil Baby & Rylo Rodriguez Featuring Rod Wave
2025-01-18,39,Perfumito Nuevo,Bad Bunny & RaiNao
2025-01-18,40,Like Him,"Tyler, The Creator Featuring Lola Young"
2025-01-18,41,Pink Pony Club,Chappell Roan
2025-01-18,42,No One Noticed,The Marias
2025-01-18,43,Liar,Jelly Roll
